Date,Close,Volume,Daily_Return_Pct,Year,Month,DayOfWeek,Quarter
2021-04-13 00:00:00,254.11,133958400.0,8.596,2021,4,1,2
2021-04-14 00:00:00,244.08,147052200.0,-3.947,2021,4,2,2
2021-04-15 00:00:00,246.28,83546700.0,0.904,2021,4,3,2
2021-04-16 00:00:00,246.59,83938500.0,0.126,2021,4,4,2
2021-04-19 00:00:00,238.21,119058600.0,-3.4,2021,4,0,2
2021-04-20 00:00:00,239.66,106827000.0,0.61,2021,4,1,2
2021-04-21 00:00:00,248.04,93646500.0,3.495,2021,4,2,2
2021-04-22 00:00:00,239.9,106770900.0,-3.283,2021,4,3,2
2021-04-23 00:00:00,243.13,85110000.0,1.349,2021,4,4,2
2021-04-26 00:00:00,246.07,93115500.0,1.206,2021,4,0,2
2021-04-27 00:00:00,234.91,88311000.0,-4.533,2021,4,1,2
2021-04-28 00:00:00,231.47,66813000.0,-1.467,2021,4,2,2
2021-04-29 00:00:00,225.67,86536200.0,-2.506,2021,4,3,2
2021-04-30 00:00:00,236.48,122276100.0,4.792,2021,4,4,2
2021-05-03 00:00:00,228.3,81129300.0,-3.459,2021,5,0,2
2021-05-04 00:00:00,224.53,89217900.0,-1.65,2021,5,1,2
2021-05-05 00:00:00,223.65,65705700.0,-0.395,2021,5,2,2
2021-05-06 00:00:00,221.18,83353800.0,-1.103,2021,5,3,2
2021-05-07 00:00:00,224.12,70407600.0,1.331,2021,5,4,2
2021-05-10 00:00:00,209.68,94177200.0,-6.444,2021,5,0,2
2021-05-11 00:00:00,205.73,139511700.0,-1.882,2021,5,1,2
2021-05-12 00:00:00,196.63,101470800.0,-4.425,2021,5,2,2
2021-05-13 00:00:00,190.56,132554700.0,-3.085,2021,5,3,2
2021-05-14 00:00:00,196.58,100112700.0,3.157,2021,5,4,2
2021-05-17 00:00:00,192.28,97171200.0,-2.189,2021,5,0,2
2021-05-18 00:00:00,192.62,110491800.0,0.18,2021,5,1,2
2021-05-19 00:00:00,187.82,118735200.0,-2.494,2021,5,2,2
2021-05-20 00:00:00,195.59,92463300.0,4.139,2021,5,3,2
2021-05-21 00:00:00,193.63,78091800.0,-1.005,2021,5,4,2
2021-05-24 00:00:00,202.15,103674300.0,4.4,2021,5,0,2
2021-05-25 00:00:00,201.56,84017700.0,-0.289,2021,5,1,2
2021-05-26 00:00:00,206.38,85917900.0,2.388,2021,5,2,2
2021-05-27 00:00:00,210.28,79111800.0,1.893,2021,5,3,2
2021-05-28 00:00:00,208.41,68211000.0,-0.892,2021,5,4,2
2021-06-01 00:00:00,207.97,54254700.0,-0.211,2021,6,1,2
2021-06-02 00:00:00,201.71,69908400.0,-3.01,2021,6,2,2
2021-06-03 00:00:00,190.95,90335700.0,-5.334,2021,6,3,2
2021-06-04 00:00:00,199.68,72110700.0,4.575,2021,6,4,2
2021-06-07 00:00:00,201.71,67631100.0,1.015,2021,6,0,2
2021-06-08 00:00:00,201.2,78160200.0,-0.254,2021,6,1,2
2021-06-09 00:00:00,199.59,49753800.0,-0.797,2021,6,2,2
2021-06-10 00:00:00,203.37,71758800.0,1.894,2021,6,3,2
2021-06-11 00:00:00,203.3,48615900.0,-0.038,2021,6,4,2
2021-06-14 00:00:00,205.9,61272000.0,1.279,2021,6,0,2
2021-06-15 00:00:00,199.79,53292300.0,-2.968,2021,6,1,2
2021-06-16 00:00:00,201.62,66432300.0,0.919,2021,6,2,2
2021-06-17 00:00:00,205.53,68104200.0,1.939,2021,6,3,2
2021-06-18 00:00:00,207.77,73682700.0,1.088,2021,6,4,2
2021-06-21 00:00:00,206.94,74438100.0,-0.398,2021,6,0,2
2021-06-22 00:00:00,207.9,57476700.0,0.464,2021,6,1,2
2021-06-23 00:00:00,218.86,93297600.0,5.268,2021,6,2,2
